video,group,name,error,fps,n_frames,duration_s,width,height,sampled_frames,people_max,people_median,people_max_conf,people_mean_conf,frac_frames_2plus,multi_person,frac_no_pose,median_key_visibility,n_frames_lowvis,frac_lowvis,shooter_jump_median_diag_per_s,shooter_jump_p90_diag_per_s,cam_shift_median_wpers,cam_shift_p90_wpers,absdiff_median,lum_mean,lum_std,content_area_frac,content_box,subject_h_median,pair_iou_median,multi_frames,frac_multi_overlapping,yolo_people_max,yolo_people_median,yolo_frac_2plus,yolo_biggest_h_median,yolo_second_h_median,panel_frac,panel_box,panel_lum_mean,panel_lum_std,frac_intruder_in_crop,median_iou_nearest,yolo_shooter_jump_bh_per_s,second_person_size_ratio,multi_person_yolo,subject_h_yolo,bucket,bucket_reason
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Couchshooting1.mp4,ShootingVideosDataset,Couchshooting1.mp4,,30.0,52,1.73,1280,720,32,1,0.0,1,0.38,0.0,False,0.625,0.9874,0,0.0,0.5473,1.0528,0.0029,0.0101,0.2041,84.6,59.2,0.317,"437,0,843,720",0.3544,,0,,2,2.0,1.0,0.414,0.124,0.096,"543,92,722,586",82.5,57.1,0.0,0.0,0.097,0.3,True,0.414,KEEP_NEEDS_PREPROCESSING,pose missing in 62% of sampled frames; pillarboxed: real image is 32% of the frame
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Kevindurantrightcournor3ptshooting1.mp4,ShootingVideosDataset,Kevindurantrightcournor3ptshooting1.mp4,,30.0,77,2.57,1280,720,32,1,1.0,1,0.56,0.0,False,0.438,0.9831,0,0.0,0.5299,0.7185,0.0262,0.1148,3.4203,106.4,72.2,1.0,"0,0,1280,720",0.3553,,0,,5,3.5,1.0,0.408,0.362,1.0,"0,0,1280,720",106.4,72.2,0.083,0.0,0.041,0.887,True,0.408,KEEP_NEEDS_PREPROCESSING,pose missing in 44% of sampled frames; camera pans 0.026 frame-widths/s -- body_rise_ratio unusable without stabilisation
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Kevindurantrightcournor3ptshooting2.mp4,ShootingVideosDataset,Kevindurantrightcournor3ptshooting2.mp4,,30.0,77,2.57,1280,720,32,1,1.0,1,0.94,0.0,False,0.062,0.9791,0,0.0,0.4042,0.7923,0.0367,0.1928,5.7774,107.1,74.9,1.0,"0,0,1280,720",0.4753,,0,,4,2.0,1.0,0.54,0.26,1.0,"0,0,1280,720",107.1,74.9,0.0,0.0,0.466,0.481,True,0.54,KEEP_NEEDS_PREPROCESSING,camera pans 0.037 frame-widths/s -- body_rise_ratio unusable without stabilisation
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Kevindurantrightwing3ptshooting2miss.mp4,ShootingVideosDataset,Kevindurantrightwing3ptshooting2miss.mp4,,30.0,77,2.57,1280,720,32,1,1.0,1,1.0,0.0,False,0.0,0.98,0,0.0,0.4455,0.8529,0.0245,0.0431,2.7517,108.3,76.4,1.0,"0,0,1280,720",0.5831,,0,,3,3.0,1.0,0.63,0.322,1.0,"0,0,1280,720",108.3,76.3,0.333,0.0,0.685,0.511,True,0.63,KEEP_NEEDS_PREPROCESSING,"camera pans 0.025 frame-widths/s -- body_rise_ratio unusable without stabilisation; another person enters the shooter crop in 33% of frames -- needs shooter tracking, not a static crop"
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Klay3ptshooting1.mp4,ShootingVideosDataset,Klay3ptshooting1.mp4,,30.0,75,2.5,1280,720,32,2,1.0,2,0.81,0.094,False,0.281,0.9814,0,0.0,0.6608,14.6974,0.0059,0.0121,1.3969,129.0,57.8,1.0,"0,0,1280,720",0.4265,0.0,3,0.0,5,4.0,1.0,0.505,0.296,1.0,"0,0,1280,720",129.0,57.8,0.042,0.0,0.449,0.586,True,0.505,KEEP_NEEDS_PREPROCESSING,pose missing in 28% of sampled frames
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Klay3ptshooting3.mp4,ShootingVideosDataset,Klay3ptshooting3.mp4,,30.0,75,2.5,1280,720,32,1,1.0,1,1.0,0.0,False,0.0,0.9815,0,0.0,0.3208,0.9064,0.0103,0.0182,2.2802,130.0,56.2,1.0,"0,0,1280,720",0.5898,,0,,7,5.0,1.0,0.663,0.404,1.0,"0,0,1280,720",130.0,56.3,0.5,0.0,0.452,0.609,True,0.663,REJECT,second player of comparable size (0.61x shooter) inside the shooter crop in 50% of frames -- crop cannot isolate a single shooter
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Klay3ptshooting4.mp4,ShootingVideosDataset,Klay3ptshooting4.mp4,,30.0,75,2.5,1280,720,32,1,1.0,1,1.0,0.0,False,0.0,0.9843,0,0.0,0.3807,0.777,0.0084,0.023,2.1195,129.0,56.6,1.0,"0,0,1280,720",0.6004,,0,,6,5.0,1.0,0.68,0.4,1.0,"0,0,1280,720",129.0,56.6,0.542,0.0,0.44,0.588,True,0.68,REJECT,second player of comparable size (0.59x shooter) inside the shooter crop in 54% of frames -- crop cannot isolate a single shooter
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Klaythompsonpracticeshooting.mp4,ShootingVideosDataset,Klaythompsonpracticeshooting.mp4,,30.0,126,4.2,1280,720,32,1,1.0,1,1.0,0.0,False,0.0,0.9874,0,0.0,0.1889,1.484,0.0263,0.2954,2.0723,148.4,49.3,1.0,"0,0,1280,720",0.6988,,0,,1,1.0,0.0,0.731,,1.0,"0,0,1280,720",147.5,49.6,,,,,False,0.731,KEEP_NEEDS_PREPROCESSING,camera pans 0.026 frame-widths/s -- body_rise_ratio unusable without stabilisation
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Lethalshooterpractice3ptshooting.mp4,ShootingVideosDataset,Lethalshooterpractice3ptshooting.mp4,,30.0,97,3.23,1280,720,32,1,1.0,1,1.0,0.0,False,0.0,0.9854,0,0.0,0.2425,0.7056,0.0254,0.0429,1.4142,160.3,43.5,1.0,"0,0,1280,720",0.543,,0,,3,3.0,1.0,0.594,0.405,0.531,"404,142,1251,720",163.9,44.8,0.667,0.013,0.253,0.682,True,0.594,REJECT,second player of comparable size (0.68x shooter) inside the shooter crop in 67% of frames -- crop cannot isolate a single shooter
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Lethalshooterpractice3ptshooting2.mp4,ShootingVideosDataset,Lethalshooterpractice3ptshooting2.mp4,,30.0,75,2.5,1280,720,32,2,1.0,2,1.06,0.062,False,0.0,0.9862,0,0.0,0.2235,0.5752,0.0263,0.0396,0.8227,163.8,39.0,1.0,"0,0,1280,720",0.5221,0.7982,2,1.0,2,2.0,1.0,0.552,0.339,0.489,"500,0,1126,720",163.0,43.6,0.0,0.0,0.296,0.614,True,0.552,KEEP_NEEDS_PREPROCESSING,camera pans 0.026 frame-widths/s -- body_rise_ratio unusable without stabilisation
