epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9102.74,1.32426,1.02053,1.64704,0.90538,0.90379,0.93609,0.66869,1.11291,0.66392,1.42119,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,9370.97,1.3081,0.99625,1.6305,0.9088,0.91078,0.94172,0.6845,1.08045,0.65682,1.39878,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,9638.98,1.31631,1.00632,1.6237,0.92055,0.89098,0.93832,0.68134,1.09777,0.65569,1.40389,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,9907.24,1.31346,0.997,1.62883,0.9098,0.90924,0.94647,0.67861,1.09816,0.65192,1.42401,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,10178.5,1.30912,0.98286,1.63187,0.89957,0.92539,0.94797,0.68199,1.08706,0.64492,1.39908,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,10451.2,1.29944,0.98555,1.61755,0.90195,0.92929,0.94672,0.69503,1.05776,0.63255,1.37343,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,10724.7,1.29876,0.97933,1.61949,0.91615,0.90869,0.94409,0.69438,1.05169,0.63711,1.38872,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,10996.5,1.29329,0.97526,1.61944,0.9378,0.89701,0.94531,0.68176,1.07324,0.62556,1.37659,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,11269.2,1.28151,0.958,1.60681,0.93377,0.90819,0.94681,0.68839,1.06867,0.61617,1.3796,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,11542.2,1.28346,0.96377,1.60519,0.91859,0.91835,0.94312,0.69154,1.05964,0.61935,1.36312,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,11814.7,1.27943,0.95769,1.5995,0.91687,0.92024,0.94648,0.69063,1.07251,0.61917,1.37399,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,12088,1.26763,0.93773,1.5903,0.94481,0.91194,0.95109,0.68601,1.08405,0.61551,1.38977,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,12360.2,1.27241,0.93234,1.59688,0.92728,0.91886,0.94413,0.69674,1.04994,0.60572,1.35775,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,12633.1,1.25438,0.93508,1.57496,0.92614,0.92325,0.94336,0.69204,1.05874,0.60827,1.37705,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,12905.1,1.24738,0.91622,1.57265,0.92062,0.92976,0.94807,0.70143,1.04853,0.59833,1.35393,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,13178,1.25502,0.9187,1.58212,0.92806,0.90317,0.9502,0.70334,1.0473,0.58849,1.33813,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,13451,1.26066,0.91849,1.58066,0.93035,0.91794,0.94423,0.7008,1.0459,0.59115,1.34538,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,13723.5,1.2445,0.90163,1.56653,0.91825,0.92902,0.94347,0.70787,1.02503,0.56912,1.33486,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,13995.8,1.24771,0.89623,1.57198,0.93632,0.90382,0.94257,0.69713,1.04449,0.59725,1.36303,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,14268.9,1.23356,0.90524,1.56115,0.92516,0.92525,0.94732,0.7102,1.01827,0.58206,1.33621,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,14542.3,1.23781,0.89641,1.56663,0.9409,0.90842,0.94406,0.70045,1.04791,0.5919,1.35859,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,14814.1,1.23761,0.88603,1.56479,0.93166,0.90971,0.94792,0.70813,1.02309,0.57344,1.33536,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,15087.9,1.22496,0.86529,1.55312,0.94154,0.91279,0.948,0.71322,1.00803,0.56627,1.31087,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,15370.7,1.22552,0.866,1.54663,0.9184,0.92479,0.94951,0.7088,1.01001,0.55822,1.32378,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,15650.3,1.22102,0.86227,1.54403,0.94141,0.91122,0.94787,0.70823,1.02108,0.56071,1.32499,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,15927.6,1.2337,0.86798,1.55942,0.93732,0.90742,0.94369,0.70934,1.00987,0.58272,1.31442,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,16203.5,1.21758,0.85308,1.54449,0.92232,0.91675,0.94494,0.71562,1.002,0.55515,1.31547,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,16475.9,1.21661,0.85833,1.54448,0.94355,0.91063,0.95338,0.70719,1.01994,0.55091,1.33296,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,16745.1,1.20965,0.84918,1.54195,0.9363,0.9231,0.95246,0.71315,1.00511,0.54685,1.31989,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,17011.7,1.20293,0.84676,1.53863,0.93475,0.92727,0.95207,0.71343,1.01508,0.55146,1.32379,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,17277.6,1.20602,0.85035,1.54019,0.93818,0.91345,0.9485,0.71902,1.00163,0.55041,1.30759,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,17545.6,1.20646,0.84908,1.53676,0.9395,0.91936,0.9502,0.71534,1.00202,0.54256,1.31223,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,17814.3,1.19777,0.83632,1.52501,0.93764,0.91456,0.94915,0.71931,0.9934,0.54261,1.31394,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,18081.8,1.1939,0.82804,1.52203,0.93282,0.917,0.94671,0.71795,0.99729,0.54413,1.30825,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,18348.6,1.188,0.82147,1.52339,0.91673,0.93004,0.94711,0.71425,1.01077,0.54409,1.31972,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,18617.3,1.1931,0.83561,1.51985,0.92618,0.92365,0.94556,0.71571,1.00909,0.54648,1.31358,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,18885.3,1.18426,0.82381,1.51442,0.93216,0.92414,0.94827,0.71469,1.00676,0.55008,1.31875,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,19153.8,1.17943,0.81673,1.50734,0.93921,0.91881,0.9459,0.71512,0.98982,0.54691,1.30251,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,19421.9,1.16888,0.8122,1.50251,0.93897,0.92051,0.94187,0.71729,0.98261,0.55289,1.29892,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,19690.4,1.17866,0.79851,1.49542,0.94425,0.92213,0.9459,0.71862,0.98352,0.54188,1.29378,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,19962.1,1.16779,0.80253,1.50762,0.93104,0.92452,0.94628,0.72307,0.98144,0.53546,1.29708,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,20235.2,1.15878,0.78647,1.49273,0.9386,0.91952,0.94741,0.72923,0.97104,0.53101,1.28847,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,20509.4,1.16643,0.7949,1.49586,0.94279,0.91541,0.94775,0.73017,0.96877,0.52658,1.27956,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
