epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
139,38156.5,0.87126,0.4414,1.23157,0.94927,0.91206,0.94406,0.74545,0.92459,0.49216,1.23794,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,38416.8,0.87173,0.44385,1.23214,0.95338,0.90907,0.94386,0.74551,0.92397,0.49155,1.23731,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,38676.1,0.87089,0.43368,1.22833,0.94894,0.91303,0.94386,0.74569,0.92377,0.49234,1.23745,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,38935.6,0.86528,0.43605,1.22229,0.95571,0.90654,0.94379,0.74483,0.92328,0.49293,1.23738,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,39193.6,0.85722,0.4242,1.22175,0.95511,0.90726,0.94391,0.745,0.92319,0.4929,1.23749,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,39455,0.86034,0.42775,1.22736,0.95512,0.90744,0.94389,0.74462,0.92253,0.49288,1.23729,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,39714.9,0.84796,0.42184,1.21612,0.95517,0.90869,0.94404,0.7452,0.92245,0.4932,1.23717,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,39972.8,0.85331,0.42557,1.21721,0.95516,0.9084,0.94385,0.74525,0.92219,0.49433,1.23683,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,40231.1,0.8483,0.41958,1.2113,0.95516,0.90833,0.9439,0.74511,0.92196,0.49363,1.23665,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,40491.8,0.84276,0.42155,1.21502,0.95517,0.90853,0.94386,0.74481,0.92203,0.49339,1.23665,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,40751.9,0.83525,0.4185,1.20488,0.95516,0.90843,0.94375,0.7447,0.92181,0.49314,1.2365,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,41013.8,0.83998,0.4224,1.20742,0.9552,0.90927,0.94379,0.74501,0.92141,0.49385,1.23631,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
